date,Hamburg-Altona,Hamburg Dammtor,Hamburg Hbf,Hamburg-Harburg,Bremen Hbf,Osnabrück Hbf,Münster(Westf)Hbf,Gelsenkirchen Hbf,Essen Hbf,Duisburg Hbf,Düsseldorf Hbf,Köln Hbf,Bonn Hbf,Koblenz Hbf,Mainz Hbf,Mannheim Hbf,Karlsruhe Hbf,Baden-Baden,Freiburg(Breisgau) Hbf,Basel Bad Bf,Basel SBB,Zürich HB
2019-01-01,,,,,,,,,,,,,,,0.0,8.0,8.0,7.0,2.0,1.0,1.0,0.0
2019-01-02,,,1.0,4.0,5.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,14.0,14.0,18.0,18.0,17.0,17.0,17.0,0.0
2019-01-03,1.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,5.0,5.0,3.0,2.0,1.0,12.0,13.0,13.0,14.0,13.0,13.0,13.0,0.0
2019-01-04,1.0,0.0,1.0,3.0,8.0,8.0,9.0,2.0,4.0,4.0,5.0,4.0,3.0,3.0,20.0,24.0,23.0,23.0,17.0,16.0,14.0,
2019-01-05,,,,,,,,,,,,,7.0,6.0,4.0,7.0,8.0,8.0,,,,
2019-01-06,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,5.0,6.0,11.0,9.0,5.0,1.0,1.0,1.0
2019-01-07,,,,,,,,,,,,,,,,,,,,,,5.0
2019-01-08,,,,,,,,,,,,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0
2019-01-09,,,,,,,,0.0,1.0,1.0,4.0,6.0,5.0,4.0,5.0,4.0,2.0,2.0,1.0,13.0,13.0,
2019-01-10,1.0,1.0,0.0,3.0,5.0,6.0,7.0,1.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,11.0,14.0,15.0,16.0,15.0,,0.0
2019-01-11,1.0,2.0,2.0,2.0,3.0,7.0,7.0,3.0,2.0,3.0,3.0,5.0,6.0,9.0,6.0,9.0,9.0,10.0,8.0,12.0,12.0,
2019-01-12,,,,,,,,,,,,,,,,,,,,,,0.0
2019-01-13,,,,,,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,2.0,1.0,,,,,0.0
2019-01-14,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,4.0,4.0,6.0,5.0,3.0,8.0,9.0,8.0,,,,
2019-01-15,,,,,,,,,,,,,,,,,,,,,,
2019-01-16,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,,,,,3.0,3.0,2.0,1.0,1.0,2.0
2019-01-17,,,,,,,,,,,,,,,,,,,10.0,8.0,8.0,0.0
2019-01-18,,,,,,,,,,,,,,,,,,,,,5.0,
2019-01-19,0.0,2.0,3.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,0.0
2019-01-20,,,,,,,,,,,,,,,13.0,7.0,8.0,9.0,8.0,2.0,2.0,0.0
2019-01-21,,,,,,12.0,13.0,8.0,9.0,10.0,12.0,16.0,20.0,18.0,32.0,36.0,34.0,32.0,29.0,27.0,27.0,0.0
2019-01-22,0.0,0.0,0.0,4.0,,,,,,,,,20.0,26.0,27.0,28.0,26.0,28.0,25.0,,,0.0
2019-01-23,0.0,1.0,1.0,2.0,6.0,,,,,,,,,,,,7.0,6.0,2.0,0.0,0.0,0.0
2019-01-24,,,,,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,,,,,,,,,
2019-01-25,,,,,,1.0,7.0,1.0,1.0,2.0,2.0,1.0,8.0,15.0,,,,,,,,
2019-01-26,1.0,1.0,1.0,4.0,4.0,6.0,6.0,0.0,,,,,,,,,,,,,,
